ticker,name,failed_gates,values,missing_fields,source,retrieved_at
ABVX,Abivax ADR,adr,"{'industry': 'Biotechnology', 'price': 130.0}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
APGE,Apogee Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 134.49}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ARM,Arm Holdings Plc ADR,adr,"{'industry': 'Semiconductors', 'price': 286.68}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ATAT,Atour Lifestyle Holdings Ltd ADR,adr,"{'industry': 'Lodging', 'price': 35.44}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BIDU,Baidu Inc ADR,adr,"{'industry': 'Internet Content & Information', 'price': 109.33}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BILI,Bilibili Inc ADR,adr,"{'industry': 'Internet Content & Information', 'price': 18.65}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BNTX,BioNTech SE ADR,adr,"{'industry': 'Biotechnology', 'price': 91.19}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BZ,Kanzhun Ltd ADR,adr,"{'industry': 'Internet Content & Information', 'price': 16.09}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CELC,Celcuity Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 93.25}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
COGT,Cogent Biosciences Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 41.8}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
DFTX,Definium Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 46.14}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
DNLI,Denali Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 24.73}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
DYN,Dyne Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 25.88}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ELVN,Enliven Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 60.27}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ERAS,Erasca Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 18.27}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
EWTX,Edgewise Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 44.42}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
FUTU,Futu Holdings Ltd ADR,adr,"{'industry': 'Capital Markets', 'price': 104.52}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
GDS,GDS Holdings Limited ADR,adr,"{'industry': 'Information Technology Services', 'price': 31.84}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
GGAL,Grupo Financiero Galicia ADR,adr,"{'industry': 'Banks - Regional', 'price': 46.73}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
GMAB,Genmab ADR,adr,"{'industry': 'Biotechnology', 'price': 29.83}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
HSAI,Hesai Group ADR,adr,"{'industry': 'Auto Parts', 'price': 17.75}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
HTHT,H World Group Limited ADR,adr,"{'industry': 'Lodging', 'price': 42.8}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
IMVT,Immunovant Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 39.74}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
JD,JD.com Inc ADR,adr,"{'industry': 'Internet Retail', 'price': 32.81}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
