ticker,name,failed_gates,values,missing_fields,source,retrieved_at
ABVX,Abivax ADR,adr,"{'industry': 'Biotechnology', 'price': 125.39}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
APGE,Apogee Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 134.23}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ARM,Arm Holdings Plc ADR,adr,"{'industry': 'Semiconductors', 'price': 274.58}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ATAT,Atour Lifestyle Holdings Ltd ADR,adr,"{'industry': 'Lodging', 'price': 34.84}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
BIDU,Baidu Inc ADR,adr,"{'industry': 'Internet Content & Information', 'price': 111.11}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
BILI,Bilibili Inc ADR,adr,"{'industry': 'Internet Content & Information', 'price': 18.58}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
BNTX,BioNTech SE ADR,adr,"{'industry': 'Biotechnology', 'price': 92.18}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
BZ,Kanzhun Ltd ADR,adr,"{'industry': 'Internet Content & Information', 'price': 16.19}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
CELC,Celcuity Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 92.92}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
COGT,Cogent Biosciences Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 42.27}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
DFTX,Definium Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 44.39}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
DNLI,Denali Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 24.42}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
DYN,Dyne Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 26.17}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ELVN,Enliven Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 59.7}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ERAS,Erasca Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 18.62}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
EWTX,Edgewise Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 44.99}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
FUTU,Futu Holdings Ltd ADR,adr,"{'industry': 'Capital Markets', 'price': 110.22}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
GDS,GDS Holdings Limited ADR,adr,"{'industry': 'Information Technology Services', 'price': 32.67}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
GGAL,Grupo Financiero Galicia ADR,adr,"{'industry': 'Banks - Regional', 'price': 48.36}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
GMAB,Genmab ADR,adr,"{'industry': 'Biotechnology', 'price': 29.26}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
HSAI,Hesai Group ADR,adr,"{'industry': 'Auto Parts', 'price': 17.91}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
HTHT,H World Group Limited ADR,adr,"{'industry': 'Lodging', 'price': 42.34}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
IMVT,Immunovant Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 39.28}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
JD,JD.com Inc ADR,adr,"{'industry': 'Internet Retail', 'price': 32.54}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
LEGN,Legend Biotech Corp ADR,adr,"{'industry': 'Biotechnology', 'price': 19.05}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
MBX,MBX Biosciences Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 67.48}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
MLYS,Mineralys Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 26.85}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
NTES,NetEase Inc ADR,adr,"{'industry': 'Electronic Gaming & Multimedia', 'price': 128.11}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ORKA,Oruka Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 97.19}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
PAYP,PayPay Corp ADR,adr,"{'industry': 'Software - Infrastructure', 'price': 15.67}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
PBLS,Parabilis Medicines Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 34.9}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
PCVX,Vaxcyte Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 55.92}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
PDD,PDD Holdings Inc ADR,adr,"{'industry': 'Internet Retail', 'price': 90.94}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
RVMD,Revolution Medicines Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 197.3}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
RYAAY,Ryanair Holdings Plc ADR,adr,"{'industry': 'Airlines', 'price': 61.19}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
SIMO,Silicon Motion Technology Corp ADR,adr,"{'industry': 'Semiconductors', 'price': 246.65}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
SKHY,SK Hynix Inc ADR,adr,"{'industry': 'Semiconductors', 'price': 151.03}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
SNY,Sanofi ADR,adr,"{'industry': 'Drug Manufacturers - General', 'price': 42.78}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
SRRK,Scholar Rock Holding Corp,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 47.87}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
SYRE,Spyre Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 104.35}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
TCOM,Trip.com Group Ltd ADR,adr,"{'industry': 'Travel Services', 'price': 45.96}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
TRVI,Trevi Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 18.65}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
VERA,Vera Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 30.35}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
VKTX,Viking Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 33.51}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
VOD,Vodafone Group plc ADR,adr,"{'industry': 'Telecom Services', 'price': 15.31}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
ZLAB,Zai Lab Limited ADR,adr,"{'industry': 'Biotechnology', 'price': 18.37}",,Finviz via finvizfinance screener views,2026-08-05T22:43:10+02:00
